,code,Frequency_across_Pubmed,Title
1320,C0178283,1,NONINFECTIOUS ENTERITIS AND COLITIS
1321,C0749165,1,"Supraglottitis, unspecified"
1322,C0155749,1,Arterial embolism and thrombosis
1323,C1561653,1,"Other specified adverse effects, not elsewhere classified"
1324,C0035238,1,Unspecified anomaly of respiratory system
1325,C1719662,1,Traumatic compartment syndrome
1326,C0497333,1,OTHER PSYCHOSES
1327,C0158773,1,Other congenital musculoskeletal anomalies
1328,C0343251,1,Muscular calcification and ossification
1329,C0496137,1,Complications peculiar to certain specified procedures
1330,C0026849,1,Muscular dystrophies and other myopathies
1331,C0434583,1,Open dislocation of shoulder
1332,C0155883,1,Chronic obstructive asthma
1333,C0155001,1,Subjective visual disturbances
1334,C0034066,1,Pulmonary embolism and infarction
1335,C0153126,1,Other arthropod-borne diseases
1336,C0013679,1,OTHER AND UNSPECIFIED EFFECTS OF EXTERNAL CAUSES
1337,C0700502,1,Acquired hypothyroidism
1338,C0029586,1,Other disorders of bone and cartilage
1339,C0740253,1,Empyema with fistula
1340,C0878703,1,Ulcer of other part of foot
1341,C0161019,1,Foreign body in stomach
1342,C0158454,1,Malunion of fracture
1343,C0155808,1,Other acute sinusitis
1344,C0273480,1,Injury to popliteal blood vessels
1345,C0157697,1,Cellulitis and abscess of neck
1346,C0375732,1,Non-healing surgical wound
1347,C2711829,1,Iatrogenic pulmonary embolism and infarction
1348,C0413040,1,Toxic effect of organophosphate and carbamate
1349,C0687719,1,"Autoimmune disease, not elsewhere classified"
1350,C0161020,1,Foreign body in intestine and colon
1351,C1961841,1,Other myelopathy
1352,C0496872,1,Benign neoplasm of islets of Langerhans
1353,C0159823,1,Closed fracture of trochanteric section of neck of femur
1354,C0178301,1,OTHER DISEASES OF SKIN AND SUBCUTANEOUS TISSUE
1355,C0375267,1,Other pulmonary embolism and infarction
1356,C0155710,1,Ventricular fibrillation and flutter
1357,C0029582,1,OTHER DISEASES OF RESPIRATORY SYSTEM
1358,C0155671,1,Acute pulmonary heart disease
1359,C0260756,1,Other orthopedic aftercare
1360,C0155829,1,Hypertrophy of tonsils and adenoids
1361,C0160763,1,"Injury to tibial vessel(s), unspecified"
1362,C0037158,1,Simple and unspecified goiter
1363,C0159876,0,Open fracture of unspecified part of fibula with tibia
1364,C0153075,0,Viral hepatitis A with hepatic coma
1365,C0160397,0,Other injury to liver without mention of open wound into cavity
1366,C0160333,0,Contusion of lung with open wound into thorax
1367,C0273417,0,"Traumatic amputation of foot (complete) (partial), unilateral, complicated"
1368,C0159260,0,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
1369,C0161291,0,Full-thickness skin loss [third degree NOS] of foot
1370,C2894443,0,Other acquired deformities of finger
1371,C0156082,0,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
1372,C0375290,0,"Cerebral artery occlusion, unspecified without mention of cerebral infarction"
1373,C0155649,0,"Acute myocardial infarction of other lateral wall, initial episode of care"
1374,C0695252,0,Other malaise and fatigue
1375,C0029515,0,Other and unspecified postsurgical nonabsorption
1376,C1260444,0,"Concussion, with loss of consciousness of 30 minutes or less"
1377,C0156207,0,"Calculus of bile duct with acute cholecystitis, without mention of obstruction"
1378,C0160451,0,"Injury to other intra-abdominal organs with open wound into cavity, unspecified intra-abdominal organ"
1379,C0156120,0,"Ventral hernia, unspecified, with gangrene"
1380,C0041847,0,Unspecified hypertrophic and atrophic conditions of skin
1381,C0156058,0,"Chronic or unspecified gastrojejunal ulcer with perforation, without mention of obstruction"
1382,C2921109,0,"Spinal stenosis, lumbar region, with neurogenic claudication"
1383,C0159204,0,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
1384,C0156091,0,Angiodysplasia of stomach and duodenum with hemorrhage
1385,C0157548,0,"Amniotic fluid embolism, delivered, with or without mention of antepartum condition"
1386,C0155727,0,Occlusion and stenosis of unspecified precerebral artery
1387,C0264772,0,Mitral valve stenosis and aortic valve insufficiency
1388,C0159619,0,Closed fracture of two ribs
1389,C0347624,0,Traumatic pneumohemothorax without mention of open wound into thorax
1390,C0695240,0,Mechanical complication of gastrostomy
1391,C0159324,0,"Closed fracture of mandible, unspecified site"
1392,C0375000,0,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
1393,C0159460,0,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
1394,C0159685,0,Open fracture of unspecified part of upper end of humerus
1395,C0019657,0,"Histoplasmosis, unspecified, other"
1396,C0375282,0,Occlusion and stenosis of other specified precerebral artery with cerebral infarction
1397,C0154119,0,Neoplasm of uncertain behavior of brain and spinal cord
1398,C0032232,0,Pleurisy without mention of effusion or current tuberculosis
1399,C0159210,0,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
1400,C0435334,0,"Closed fracture of mandible, angle of jaw"
1401,C0348597,0,Other acute pericarditis
1402,C0159306,0,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
1403,C0476232,0,Jaundice NOS
1404,C0375723,0,Other nervous system complications
1405,C0041893,0,"Ventral, unspecified, hernia without mention of obstruction or gangrene"
1406,C0490007,0,Other specified hypotension
1407,C0494576,0,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
1408,C0157464,0,"Acute kidney failure following labor and delivery, postpartum condition or complication"
1409,C0159510,0,"Open fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
1410,C0701168,0,"Tricuspid valve disorders, specified as nonrheumatic"
1411,C0159323,0,Open fracture of nasal bones
1412,C1719305,0,Low grade myelodysplastic syndrome lesions
1413,C0264039,0,"Acute osteomyelitis, ankle and foot"
1414,C0160412,0,Other injury into spleen without mention of open wound into cavity
1415,C0272638,0,Closed fracture of shaft of radius (alone)
1416,C3161136,0,"Postoperative shock, other"
1417,C0375265,0,Coronary atherosclerosis of unspecified bypass graft
1418,C3161126,0,Other nonspecific abnormal finding of lung field
1419,C0375004,0,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
1420,C0269898,0,"Third-stage postpartum hemorrhage, postpartum condition or complication"
1421,C0160987,0,Crushing injury of thigh
1422,C2349265,0,"Other immunoproliferative neoplasms, in relapse"
1423,C0160275,0,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
1424,C1719659,0,Traumatic compartment syndrome of lower extremity
1425,C0302397,0,"Other hamartoses, not elsewhere classified"
1426,C0153952,0,Benign neoplasm of larynx
1427,C0154478,0,"Opioid type dependence, continuous"
1428,C2349260,0,"Multiple myeloma, without mention of having achieved remission"
1429,C0153497,0,Malignant neoplasm of other specified sites of pleura
1430,C0260771,0,Encounter for extracorporeal dialysis
1431,C1260421,0,Nodular prostate without urinary obstruction
1432,C0153447,0,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
1433,C0153523,0,Malignant neoplasm of connective and other soft tissue of thorax
1434,C0375137,0,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
1435,C0155980,0,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
1436,C1176342,0,"Asthma, unspecified type, with (acute) exacerbation"
1437,C0160647,0,"Open wound of knee, leg [except thigh], and ankle, without mention of complication"
1438,C0729250,0,"Respiratory complications, not elsewhere classified"
1439,C0158478,0,Unspecified acquired deformity of hip
1440,C0153714,0,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
1441,C0433815,0,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness"
1442,C0375288,0,Cerebral embolism with cerebral infarction
1443,C0555347,0,Closed fracture of unspecified part of fibula with tibia
1444,C0837135,0,Coronary atherosclerosis of autologous vein bypass graft
1445,C0153620,0,Malignant neoplasm of urethra
1446,C0159563,0,Closed fracture of C1-C4 level with central cord syndrome
1447,C0160819,0,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection"
1448,C0433638,0,"Traumatic amputation of thumb (complete)(partial), without mention of complication"
1449,C0375133,0,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
1450,C0153888,0,"Chronic myeloid leukemia, in remission"
1451,C1719483,0,Other diseases of trachea and bronchus
1452,C1279258,0,"Malignant neoplasm of corpus uteri, except isthmus"
1453,C0029673,0,Other noninfectious disorders of lymphatic channels
1454,C0153428,0,Malignant neoplasm of ileum
1455,C0159534,0,Closed fracture of second cervical vertebra
1456,C2349392,0,"Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified"
1457,C0161759,0,Mechanical complication due to cardiac pacemaker (electrode)
1458,C0016546,0,"Foreign body in digestive system, unspecified"
1459,C0154205,0,Other adrenal hypofunction
1460,C0159325,0,"Closed fracture of mandible, condylar process"
1461,C0159539,0,Closed fracture of seventh cervical vertebra
1462,C0339877,0,Acute tracheitis without mention of obstruction
1463,C0029511,0,Other and unspecified mycoses
1464,C0156673,0,"Severe pre-eclampsia, postpartum condition or complication"
1465,C0004992,0,Benign neoplasm of cranial nerves
1466,C0159407,0,"Other open skull fracture with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
1467,C0375005,0,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
1468,C0273104,0,"Extradural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"
1469,C2349277,0,"Chronic myeloid leukemia, without mention of having achieved remission"
1470,C0155624,0,Unspecified renovascular hypertension
1471,C0161656,0,Poisoning by other specified drugs and medicinal substances
1472,C0159747,0,Closed fracture of unspecified part of radius with ulna
1473,C1142536,0,Methicillin resistant pneumonia due to Staphylococcus aureus
1474,C1561813,0,"Insomnia with sleep apnea, unspecified"
1475,C0154264,0,Mixed acid-base balance disorder
1476,C0161769,0,"Other mechanical complication of genitourinary device, implant, and graft"
1477,C0155894,0,Bronchitis and pneumonitis due to fumes and vapors
1478,C0160325,0,"Laceration of heart without penetration of heart chambers, with open wound into thorax"
1479,C0153484,0,Malignant neoplasm of supraglottis
1480,C0153491,0,"Malignant neoplasm of middle lobe, bronchus or lung"
1481,C0859855,0,Anaphylactic reaction due to peanuts
1482,C0155630,0,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
1483,C0160242,0,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
1484,C0433848,0,"Cortex (cerebral) laceration without mention of open intracranial wound, with no loss of consciousness"
1485,C0155986,0,"Chronic or unspecified gastric ulcer with hemorrhage and perforation, without mention of obstruction"
1486,C0029799,0,"Other specified forms of pleural effusion, except tuberculous"
1487,C0241790,0,Pulmonary arteriovenous malformation
1488,C0159162,0,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness"
1489,C0158396,0,"Unspecified osteomyelitis, ankle and foot"
1490,C0153852,0,"Other malignant lymphomas, intra-abdominal lymph nodes"
1491,C0160202,0,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness"
1492,C0159150,0,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness"
1493,C0375555,0,"Abdominal pain, other specified site"
1494,C0161654,0,Poisoning by alcohol deterrents
1495,C3161111,0,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
1496,C0159156,0,"Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration"
1497,C0375286,0,Cerebral thrombosis with cerebral infarction
1498,C0272754,0,"Closed fracture of condyle, femoral"
1499,C0154393,0,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior"
1500,C0267138,0,"Chronic gastric ulcer without mention of hemorrhage or perforation, with obstruction"
1501,C2712631,0,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
1502,C0153711,0,"Lymphosarcoma, lymph nodes of multiple sites"
1503,C1719365,0,Other causes of encephalitis and encephalomyelitis
1504,C1561830,0,"Primary thrombocytopenia,unspecified"
1505,C0869452,0,"Other diseases of respiratory system, not elsewhere classified"
1506,C0153703,0,"Reticulosarcoma, lymph nodes of multiple sites"
1507,C0375324,0,"Pneumonia due to Streptococcus, group A"
1508,C0272582,0,Multiple open pelvic fractures with disruption of pelvic circle
1509,C0156079,0,"Other specified gastritis, without mention of hemorrhage"
1510,C0161601,0,Poisoning by cardiotonic glycosides and drugs of similar action
1511,C0159453,0,"Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
1512,C0273164,0,"Injury to pancreas, head, without mention of open wound into cavity"
1513,C0029741,0,Other specific muscle disorders
1514,C0158277,0,"Other and unspecified disc disorder, thoracic region"
1515,C0160606,0,"Open wound of wrist, without mention of complication"
1516,C0375140,0,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
1517,C0154058,0,"Carcinoma in situ of lip, oral cavity, and pharynx"
1518,C3648012,0,"Peripheral T cell lymphoma, lymph nodes of multiple sites"
1519,C0153502,0,Malignant neoplasm of posterior mediastinum
1520,C0400806,0,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
1521,C2887377,0,"Supraglottitis unspecified, without obstruction"
1522,C0375126,0,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
1523,C0159274,0,"Closed fracture of base of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
1524,C2228890,0,Mechanical complication due to insulin pump
1525,C0496854,0,Carcinoma in situ of liver and biliary system
1526,C0159917,0,Closed anterior dislocation of humerus
1527,C0160454,0,Peritoneum injury-open
1528,C0159242,0,"Closed fracture of base of skull with cerebral laceration and contusion, with no loss of consciousness"
1529,C0155646,0,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
1530,C0155744,0,Aneurysm of artery of lower extremity
1531,C0157243,0,"Secondary uterine inertia, delivered, with or without mention of antepartum condition"
1532,C0155781,0,Internal thrombosed hemorrhoids
1533,C0375214,0,Other specified hemiplegia and hemiparesis affecting unspecified side
1534,C0160416,0,"Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma"
1535,C0155993,0,"Acute duodenal ulcer with hemorrhage, without mention of obstruction"
1536,C0160014,0,"Closed dislocation, sixth cervical vertebra"
1537,C0272647,0,Closed fracture of distal end of ulna (alone)
1538,C0155657,0,"Subendocardial infarction, initial episode of care"
1539,C0302411,0,"Mechanical complication due to graft of other tissue, not elsewhere classified"
1540,C0156211,0,"Calculus of bile duct with other cholecystitis, with obstruction"
1541,C0160231,0,"Subarachnoid hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness"
1542,C0158247,0,"Spondylosis with myelopathy, lumbar region"
1543,C0348588,0,Other and unspecified angina pectoris
1544,C0159261,0,"Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
1545,C0154038,0,Benign neoplasm of thyroid glands
1546,C0161788,0,"Other complications due to unspecified device, implant, and graft"
1547,C0260764,0,Attention to other artificial opening of digestive tract
1548,C0157575,0,"Cerebrovascular disorders in the puerperium, antepartum condition or complication"
1549,C0153645,0,Malignant neoplasm of cerebral meninges
1550,C0159624,0,Closed fracture of seven ribs
1551,C0160613,0,"Open wound of elbow, with tendon involvement"
1552,C0160350,0,"Injury to duodenum, without open wound into cavity"
1553,C0276063,0,Other septicemia due to gram-negative organisms
1554,C0159844,0,"Open fracture of lower end of femur, unspecified part"
1555,C0155853,0,Cellulitis and perichondritis of larynx
1556,C0154530,0,"Opioid abuse, continuous"
1557,C0029597,0,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin
1558,C0160359,0,"Injury to transverse colon, without mention of open wound into cavity"
1559,C0153420,0,Malignant neoplasm of fundus of stomach
1560,C0160674,0,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated"
1561,C0159615,0,Closed fracture of unspecified vertebral column with spinal cord injury
1562,C0264643,0,Malignant renovascular hypertension
1563,C0160469,0,Rupture of eye with partial loss of intraocular tissue
1564,C0160687,0,Injury to multiple blood vessels of head and neck
1565,C0730032,0,Empyema without mention of fistula
1566,C0159866,0,Open fracture of shaft of tibia alone
1567,C0159701,0,Closed fracture of unspecified condyle(s) of humerus
1568,C1279224,0,"Infectious colitis, enteritis, and gastroenteritis"
1569,C0489982,0,Other disorders of calcium metabolism
1570,C0153375,0,Malignant neoplasm of hard palate
1571,C0156249,0,Chronic pyelonephritis without lesion of renal medullary necrosis
1572,C1260419,0,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
1573,C0160329,0,Contusion of lung without mention of open wound into thorax
1574,C0159420,0,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
1575,C0159007,0,Other specified perinatal disorders of digestive system
1576,C2712619,0,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity
1577,C0161015,0,Foreign body in other specified parts bronchus and lung
1578,C0159045,0,"Swelling, mass, or lump in head and neck"
1579,C0042033,0,"Urinary-genital tract fistula, female"
1580,C0153850,0,"Other malignant lymphomas, lymph nodes of head, face, and neck"
1581,C0878696,0,Bronchiectasis with acute exacerbation
1582,C0161606,0,Poisoning by other antihypertensive agents
1583,C0375273,0,Occlusion and stenosis of basilar artery without mention of cerebral infarction
1584,C0156821,0,"Other specified infectious and parasitic diseases of mother, antepartum condition or complication"
1585,C0158123,0,"Ankylosis of joint, pelvic region and thigh"
1586,C0159920,0,Closed dislocation of acromioclavicular (joint)
1587,C1260915,0,"Late syphilis, latent"
1588,C2732749,0,Acute on chronic diastolic heart failure
1589,C0023800,0,Lipoma of other specified sites
1590,C1955545,0,Other and unspecified infection due to central venous catheter
1591,C0157696,0,Cellulitis and abscess of face
1592,C0160368,0,"Injury to transverse colon, with open wound into cavity"
1593,C0338787,0,"Acute alcoholic intoxication in alcoholism, continuous"
1594,C0267389,0,Ulcerative (chronic) ileocolitis
1595,C0156119,0,Umbilical hernia with gangrene
1596,C0159646,0,Closed fracture of ilium
1597,C0432378,0,Anomalies of other endocrine glands
1598,C0153455,0,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1599,C0159348,0,Closed fracture of other facial bones
1600,C2349304,0,"Acute leukemia of unspecified cell type, without mention of having achieved remission"
1601,C0029669,0,Other musculoskeletal symptoms referable to limbs
1602,C0154350,0,"Catatonic type schizophrenia, chronic"
1603,C0155968,0,"Acute gastric ulcer with hemorrhage, without mention of obstruction"
1604,C0160279,0,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level"
1605,C0435397,0,Closed fracture of C1-C4 level with complete lesion of cord
1606,C0156146,0,Regional enteritis of small intestine
1607,C2711480,0,Chronic diastolic heart failure
1608,C1112691,0,Atherosclerosis of nonautologous biological bypass graft of the extremities
1609,C0159152,0,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
1610,C0264024,0,"Unspecified osteomyelitis, forearm"
1611,C0159195,0,"Open fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness"
1612,C0155903,0,Chronic and other pulmonary manifestations due to radiation
1613,C0029737,0,Other shock without mention of trauma
1614,C1719620,0,Nontraumatic compartment syndrome of lower extremity
1615,C0272751,0,Closed fracture of unspecified part of neck of femur
1616,C0302378,0,"Chronic airway obstruction, not elsewhere classified"
1617,C0159560,0,Closed fracture of C1-C4 level with unspecified spinal cord injury
1618,C0156350,0,Prolapse of vaginal walls without mention of uterine prolapse
1619,C0155694,0,Other specified diseases of pericardium
1620,C0159742,0,Open fracture of lower end of radius with ulna
1621,C0160125,0,"Concussion with prolonged loss of consciousness, without return to pre-existing conscious level"
1622,C0410385,0,"Acute osteomyelitis, other specified sites"
1623,C0159555,0,Closed fracture of sacrum and coccyx without mention of spinal cord injury
1624,C2712383,0,Broken prosthetic joint implant
1625,C1306246,0,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
1626,C0375239,0,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
1627,C0375513,0,Other specified acquired deformity of head
1628,C0476658,0,Encounter for antineoplastic chemotherapy and immunotherapy
1629,C0153616,0,Malignant neoplasm of other specified sites of bladder
1630,C0160011,0,"Closed dislocation, third cervical vertebra"
1631,C0161696,0,Toxic effect of caustic alkalis
1632,C0157142,0,"Oligohydramnios, delivered, with or without mention of antepartum condition"
1633,C0029652,0,Other kyphoscoliosis and scoliosis
1634,C0159618,0,Closed fracture of one rib
1635,C0154120,0,Neoplasm of uncertain behavior of meninges
1636,C0154721,0,"Epilepsy, unspecified, without mention of intractable epilepsy"
1637,C0159196,0,"Open fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness"
1638,C0157403,0,"Postpartum coagulation defects, postpartum condition or complication"
1639,C0153041,0,Herpetic septicemia
1640,C0153659,0,Malignant neoplasm of other and ill-defined sites
1641,C1135216,0,Atheroembolism of other sites
1642,C0154189,0,Other disorders of pancreatic internal secretion
1643,C0155527,0,Other disorders of ear
1644,C0154741,0,Mononeuritis of upper limb and mononeuritis multiplex
1645,C0160335,0,Injury to other and unspecified intrathoracic organs
1646,C0160538,0,Open wound of neck
1647,C1561612,0,"Other diseases of larynx, not elsewhere classified"
1648,C0375891,0,Convalescence and palliative care
1649,C0155643,0,"Acute myocardial infarction, of other inferior wall"
1650,C0158352,0,"Disorders of muscle, ligament, and fascia"
1651,C0160255,0,Extradural hemorrhage following injury without mention of open intracranial wound
1652,C0161588,0,Poisoning by unspecified central nervous system stimulant
1653,C0153597,0,Malignant neoplasm of penis and other male genital organs
1654,C0476235,0,"Symptoms concerning nutrition, metabolism, and development"
1655,C0159155,0,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
1656,C0159033,0,Symptoms involving nervous and musculoskeletal systems
1657,C0490041,0,"Other and unspecified injury to head, face, and neck"
1658,C0434579,0,Closed dislocation of shoulder
1659,C0178249,0,MALIGNANT NEOPLASM OF RESPIRATORY AND INTRATHORACIC ORGANS
1660,C0159061,0,Other symptoms involving digestive system
1661,C0178339,0,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION AND DEVELOPMENT
1662,C0851225,0,"Hemangioma and lymphangioma, any site"
1663,C2349761,0,Slow virus infections and prion diseases of central nervous system
1664,C0155659,0,"Acute myocardial infarction, of other specified sites"
1665,C0160630,0,Traumatic amputation of other finger(s) (complete) (partial)
1666,C0343139,0,"Osteomyelitis, periostitis, and other infections involving bone"
1667,C0160348,0,Injury to small intestine without mention of open wound into cavity
1668,C0157724,0,Pruritus and related conditions
1669,C0489951,0,Intestinal infection due to other specified bacteria
1670,C0155839,0,OTHER DISEASES OF THE UPPER RESPIRATORY TRACT
1671,C0159149,0,Closed fracture of vault of skull with cerebral laceration and contusion
1672,C2004518,0,NONSPECIFIC ABNORMAL FINDINGS
1673,C0311334,0,Generalized convulsive epilepsy
1674,C0152620,0,Other respiratory tuberculosis
1675,C0178259,0,OTHER METABOLIC AND IMMUNITY DISORDERS
1676,C0160128,0,Cortex (cerebral) contusion without mention of open intracranial wound
1677,C0160679,0,Injury to unspecified blood vessel of head and neck
1678,C0155523,0,Unspecified vertiginous syndromes and labyrinthine disorders
1679,C0159079,0,Other nonspecific abnormal findings in body substances
1680,C0159810,0,"Transcervical fracture, closed"
1681,C0153368,0,Malignant neoplasm of floor of mouth
1682,C0153473,0,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses"
1683,C0153867,0,Multiple myeloma and immunoproliferative neoplasms
1684,C0490040,0,Chronic tonsillitis and adenoiditis
1685,C1135334,0,Aneurysm and dissection of heart
1686,C0478070,0,"Other congenital anomalies of upper limb, including shoulder girdle"
1687,C0157311,0,Trauma to perineum and vulva during delivery
1688,C0160627,0,Traumatic amputation of thumb (complete) (partial)
1689,C0161009,0,Foreign body in pharynx and larynx
1690,C0555264,0,MALIGNANT NEOPLASM OF DIGESTIVE ORGANS AND PERITONEUM
1691,C1456305,0,"Bipolar I disorder, most recent episode (or current) depressed"
1692,C0178315,0,FRACTURE OF NECK AND TRUNK
1693,C0375832,0,Observation and evaluation of newborns for suspected condition not found
1694,C0302401,0,"Injury, other and unspecified"
1695,C2712851,0,Acute kidney failure following labor and delivery
1696,C0152485,0,Other salmonella infections
1697,C0160603,0,"Open wound of elbow, forearm, and wrist, without mention of complication"
1698,C0156854,0,"Mental disorders complicating pregnancy, childbirth, or the puerperium"
1699,C0260782,0,Other aftercare following surgery
1700,C0156320,0,Other disorders of breast
1701,C0311355,0,Polyglandular activity in multiple endocrine adenomatosis
1702,C0154501,0,Combinations of opioid type drug with any other drug dependence
1703,C3161256,0,Complications of other bariatric procedure
1704,C0159843,0,"Fracture of lower end of femur, open"
1705,C0338381,0,DISEASES OF THE NERVOUS SYSTEM AND SENSE ORGANS
1706,C0155759,0,Other disorders of arteries and arterioles
1707,C2712970,0,Influenza due to certain identified influenza viruses
1708,C0859172,0,"Infectious and parasitic conditions in the mother classifiable elsewhere, but complicating pregnancy, childbirth, or the puerperium"
1709,C0494362,0,Other specified disorders of metabolism
1710,C0995154,0,"Pain, not elsewhere classified"
1711,C2349817,0,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1712,C0155647,0,"Acute myocardial infarction, of other lateral wall"
1713,C1955727,0,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue
1714,C0155601,0,"Hypertensive heart and renal disease, unspecified"
1715,C0154642,0,Meningitis due to other specified bacteria
1716,C0375368,0,Calculus of gallbladder and bile duct with other cholecystitis
1717,C0159368,0,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage"
1718,C3495604,0,Atherosclerosis of native arteries of the extremities
1719,C0156367,0,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament"
1720,C0154113,0,Neoplasm of uncertain behavior of other and unspecified urinary organs
1721,C0159832,0,"Fracture of shaft or unspecified part of femur, closed"
1722,C0155578,0,Diseases of other endocardial structures
1723,C0156621,0,Hemorrhage from placenta previa
1724,C0159051,0,Shock without mention of trauma
1725,C0159617,0,"Fracture of rib(s), sternum, larynx, and trachea"
1726,C0160572,0,"Open wound of other and unspecified sites, except limbs"
1727,C0494730,0,Chronic or unspecified peptic ulcer of unspecified site with hemorrhage
1728,C1719358,0,"Encephalitis, myelitis, and encephalomyelitis following immunization procedures"
1729,C0435349,0,Fracture of vertebral column with spinal cord injury
1730,C0160026,0,"Closed dislocation, thoracic and lumbar vertebra"
1731,C0155627,0,"Acute myocardial infarction, of anterolateral wall"
1732,C0159765,0,Open fractures of carpal bones
1733,C0159413,0,"Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage"
1734,C0159037,0,Other symptoms involving skin and integumentary tissues
1735,C2712881,0,Influenza due to identified avian influenza virus
1736,C0159000,0,Perinatal disorders of digestive system
1737,C0158254,0,Displacement of thoracic or lumbar intervertebral disc without myelopathy
1738,C0159085,0,Nonspecific (abnormal) findings on radiological and other examination of body structure
1739,C0153464,0,Malignant neoplasm of retroperitoneum and peritoneum
1740,C0451639,0,Other diseases of blood and blood-forming organs
1741,C0159790,0,Fracture of one or more phalanges of hand
1742,C0497550,0,"Benign neoplasm of nervous system, part unspecified"
1743,C1456283,0,Other specified alcohol-induced mental disorders
1744,C0160079,0,Sprains and strains of knee and leg
1745,C2004482,0,"Burn of face, head, and neck"
