cui_code,icd_code1,category,icd_code2,title
C0154627,314.1,ICD9CM,3141,Hyperkinesis with developmental delay
C0154627,314.1,ICD9CM,3141,Hyperkinet w devel delay
C0154628,314.2,ICD9CM,3142,Hyperkinetic conduct disorder
C0154628,314.2,ICD9CM,3142,Hyperkinetic conduct dis
C0154629,314.8,ICD9CM,3148,Other specified manifestations of hyperkinetic syndrome
C0154629,314.8,ICD9CM,3148,Other hyperkinetic synd
C0154631,315.09,ICD9CM,31509,Other specific developmental reading disorder
C0154631,315.09,ICD9CM,31509,Reading disorder NEC
C0154632,315.3,ICD9CM,3153,Developmental speech or language disorder
C0154633,315.39,ICD9CM,31539,Other developmental speech or language disorder
C0154633,315.39,ICD9CM,31539,Speech/language dis NEC
C0154634,315.5,ICD9CM,3155,Mixed development disorder
C0154634,315.5,ICD9CM,3155,Mixed development dis
C0154635,315.8,ICD9CM,3158,Other specified delays in development
C0154635,315.8,ICD9CM,3158,Development delays NEC
C0154637,316,ICD9CM,316,Psychic factors associated with diseases classified elsewhere
C0154637,316,ICD9CM,316,Psychic factor w oth dis
C0154639,320.2,ICD9CM,3202,Streptococcal meningitis
C0154639,320.2,ICD9CM,3202,Streptococcal meningitis
C0154640,320.3,ICD9CM,3203,Staphylococcal meningitis
C0154640,320.3,ICD9CM,3203,Staphylococc meningitis
C0154641,320.7,ICD9CM,3207,Meningitis in other bacterial diseases classified elsewhere
C0154641,320.7,ICD9CM,3207,Mening in oth bact dis
C0154642,320.8,ICD9CM,3208,Meningitis due to other specified bacteria
C0154642,320.89,ICD9CM,32089,Meningitis due to other specified bacteria
C0154642,320.89,ICD9CM,32089,Meningitis oth spcf bact
C0154644,321,ICD9CM,321,Meningitis due to other organisms
C0154645,321.1,ICD9CM,3211,Meningitis in other fungal diseases
C0154645,321.1,ICD9CM,3211,Mening in oth fungal dis
C0154648,321.4,ICD9CM,3214,Meningitis in sarcoidosis
C0154648,321.4,ICD9CM,3214,Meningit d/t sarcoidosis
C0154649,321.8,ICD9CM,3218,Meningitis due to other nonbacterial organisms classified elsewhere
C0154649,321.8,ICD9CM,3218,Mening in oth nonbac dis
C0154651,322.0,ICD9CM,3220,Nonpyogenic meningitis
C0154651,322.0,ICD9CM,3220,Nonpyogenic meningitis
C0154652,322.1,ICD9CM,3221,Eosinophilic meningitis
C0154652,322.1,ICD9CM,3221,Eosinophilic meningitis
C0154653,322.2,ICD9CM,3222,Chronic meningitis
C0154653,322.2,ICD9CM,3222,Chronic meningitis
C0154660,324.9,ICD9CM,3249,Intracranial and intraspinal abscess of unspecified site
C0154660,324,ICD9CM,324,Intracranial and intraspinal abscess
C0154660,324.9,ICD9CM,3249,Cns abscess NOS
C0154661,324.1,ICD9CM,3241,Intraspinal abscess
C0154661,324.1,ICD9CM,3241,Intraspinal abscess
C0154662,325,ICD9CM,325,Phlebitis and thrombophlebitis of intracranial venous sinuses
C0154662,325,ICD9CM,325,Phlebitis intrcran sinus
C0154663,326,ICD9CM,326,Late effects of intracranial abscess or pyogenic infection
C0154663,326,ICD9CM,326,Late eff cns abscess
C0154664,330,ICD9CM,330,Cerebral degenerations usually manifest in childhood
C0154666,330.3,ICD9CM,3303,Cerebral degeneration of childhood in other diseases classified elsewhere
C0154666,330.3,ICD9CM,3303,Cerb deg chld in oth dis
C0154667,330.9,ICD9CM,3309,Unspecified cerebral degeneration in childhood
C0154667,330.9,ICD9CM,3309,Cereb degen in child NOS
C0154668,331.8,ICD9CM,3318,Other cerebral degeneration
C0154668,331.89,ICD9CM,33189,Other cerebral degeneration
C0154668,331,ICD9CM,331,Other cerebral degenerations
C0154668,331.89,ICD9CM,33189,Cereb degeneration NEC
C0154669,331.2,ICD9CM,3312,Senile degeneration of brain
C0154669,331.2,ICD9CM,3312,Senile degenerat brain
C0154671,331.9,ICD9CM,3319,"Cerebral degeneration, unspecified"
C0154671,331.9,ICD9CM,3319,Cereb degeneration NOS
C0154675,333.8,ICD9CM,3338,Fragments of torsion dystonia
C0154676,333.84,ICD9CM,33384,Organic writers' cramp
C0154676,333.84,ICD9CM,33384,Organic writers' cramp
C0154677,333.89,ICD9CM,33389,Other fragments of torsion dystonia
C0154677,333.89,ICD9CM,33389,Fragm torsion dyston NEC
C0154678,333.99,ICD9CM,33399,Other extrapyramidal diseases and abnormal movement disorders
C0154678,333,ICD9CM,333,Other extrapyramidal disease and abnormal movement disorders
C0154678,333.9,ICD9CM,3339,Other and unspecified extrapyramidal diseases and abnormal movement disorders
C0154678,333.99,ICD9CM,33399,Extrapyramidal dis NEC
C0154681,335,ICD9CM,335,Anterior horn cell disease
C0154681,335.9,ICD9CM,3359,"Anterior horn cell disease, unspecified"
C0154681,335.9,ICD9CM,3359,Ant horn cell dis NOS
C0154682,335.24,ICD9CM,33524,Primary lateral sclerosis
C0154682,335.24,ICD9CM,33524,Prim lateral sclerosis
C0154683,335.29,ICD9CM,33529,Other motor neuron disease
C0154683,335.29,ICD9CM,33529,Motor neuron disease NEC
C0154684,335.8,ICD9CM,3358,Other anterior horn cell diseases
C0154684,335.8,ICD9CM,3358,Ant horn cell dis NEC
C0154685,336.1,ICD9CM,3361,Vascular myelopathies
C0154685,336.1,ICD9CM,3361,Vascular myelopathies
C0154686,336.2,ICD9CM,3362,Subacute combined degeneration of spinal cord in diseases classified elsewhere
C0154686,336.2,ICD9CM,3362,Comb deg cord in oth dis
C0154687,336.3,ICD9CM,3363,Myelopathy in other diseases classified elsewhere
C0154687,336.3,ICD9CM,3363,Myelopathy in oth dis
C0154688,336,ICD9CM,336,Other diseases of spinal cord
C0154690,337.0,ICD9CM,3370,Idiopathic peripheral autonomic neuropathy
C0154691,337.1,ICD9CM,3371,Peripheral autonomic neuropathy in disorders classified elsewhere
C0154691,337.1,ICD9CM,3371,Aut neuropthy in oth dis
C0154692,341,ICD9CM,341,Other demyelinating diseases of central nervous system
C0154692,341.8,ICD9CM,3418,Other demyelinating diseases of central nervous system
C0154692,341.8,ICD9CM,3418,Cns demyelination NEC
C0154693,342.0,ICD9CM,3420,Flaccid hemiplegia
C0154693,342.00,ICD9CM,34200,Flaccid hemiplegia and hemiparesis affecting unspecified side
C0154693,342.00,ICD9CM,34200,Flccd hmiplga unspf side
C0154694,342.1,ICD9CM,3421,Spastic hemiplegia
C0154694,342.10,ICD9CM,34210,Spastic hemiplegia and hemiparesis affecting unspecified side
C0154694,342.10,ICD9CM,34210,Spstc hmiplga unspf side
C0154695,343.0,ICD9CM,3430,Congenital diplegia
C0154695,343.0,ICD9CM,3430,Congenital diplegia
C0154697,343.2,ICD9CM,3432,Congenital quadriplegia
C0154697,343.2,ICD9CM,3432,Congenital quadriplegia
C0154698,343.3,ICD9CM,3433,Congenital monoplegia
C0154698,343.3,ICD9CM,3433,Congenital monoplegia
C0154700,344,ICD9CM,344,Other paralytic syndromes
C0154701,344.2,ICD9CM,3442,Diplegia of upper limbs
C0154701,344.2,ICD9CM,3442,Diplegia of upper limbs
C0154702,344.3,ICD9CM,3443,Monoplegia of lower limb
C0154703,344.4,ICD9CM,3444,Monoplegia of upper limb
C0154703,344.40,ICD9CM,34440,Monoplegia of upper limb affecting unspecified side
C0154703,344.40,ICD9CM,34440,Monplga upr lmb unsp sde
C0154706,344.8,ICD9CM,3448,Other specified paralytic syndromes
C0154706,344.89,ICD9CM,34489,Other specified paralytic syndrome
C0154706,344.89,ICD9CM,34489,Oth spcf paralytic synd
C0154707,345.00,ICD9CM,34500,"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"
C0154707,345.00,ICD9CM,34500,Gen noncv ep w/o intr ep
C0154709,345.10,ICD9CM,34510,"Generalized convulsive epilepsy, without mention of intractable epilepsy"
C0154709,345.10,ICD9CM,34510,Gen cnv epil w/o intr ep
C0154710,345.11,ICD9CM,34511,"Generalized convulsive epilepsy, with intractable epilepsy"
C0154710,345.11,ICD9CM,34511,Gen cnv epil w intr epil
C0154712,345.51,ICD9CM,34551,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy"
C0154712,345.51,ICD9CM,34551,Part epil w intr epil
C0154713,345.41,ICD9CM,34541,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
C0154713,345.41,ICD9CM,34541,Psymotr epil w intr epil
C0154714,345.50,ICD9CM,34550,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
C0154714,345.50,ICD9CM,34550,Part epil w/o intr epil
C0154715,345.60,ICD9CM,34560,"Infantile spasms, without mention of intractable epilepsy"
C0154715,345.60,ICD9CM,34560,Inf spasm w/o intr epil
C0154716,345.61,ICD9CM,34561,"Infantile spasms, with intractable epilepsy"
C0154716,345.61,ICD9CM,34561,Inf spasm w intract epil
C0154717,345.70,ICD9CM,34570,"Epilepsia partialis continua, without mention of intractable epilepsy"
C0154717,345.70,ICD9CM,34570,Epil par cont w/o int ep
C0154718,345.71,ICD9CM,34571,"Epilepsia partialis continua, with intractable epilepsy"
C0154718,345.71,ICD9CM,34571,Epil par cont w intr epi
C0154719,345.80,ICD9CM,34580,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy"
C0154719,345.80,ICD9CM,34580,Epilep NEC w/o intr epil
C0154720,345.81,ICD9CM,34581,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy"
C0154720,345.81,ICD9CM,34581,Epilepsy NEC w intr epil
C0154721,345.90,ICD9CM,34590,"Epilepsy, unspecified, without mention of intractable epilepsy"
C0154721,345.90,ICD9CM,34590,Epilep NOS w/o intr epil
C0154722,345.91,ICD9CM,34591,"Epilepsy, unspecified, with intractable epilepsy"
C0154722,345.91,ICD9CM,34591,Epilepsy NOS w intr epil
C0154723,346.0,ICD9CM,3460,Migraine with aura
C0154724,348.0,ICD9CM,3480,Cerebral cysts
C0154724,348.0,ICD9CM,3480,Cerebral cysts
C0154725,349,ICD9CM,349,Other and unspecified disorders of the nervous system
C0154727,349.1,ICD9CM,3491,Nervous system complications from surgically implanted device
C0154727,349.1,ICD9CM,3491,Complication cns device
C0154729,350.2,ICD9CM,3502,Atypical face pain
C0154729,350.2,ICD9CM,3502,Atypical face pain
C0154730,352,ICD9CM,352,Disorders of other cranial nerves
C0154731,352.1,ICD9CM,3521,Glossopharyngeal neuralgia
C0154731,352.1,ICD9CM,3521,Glossopharyng neuralgia
C0154733,352.6,ICD9CM,3526,Multiple cranial nerve palsies
C0154733,352.6,ICD9CM,3526,Mult cranial nerve palsy
C0154735,353.1,ICD9CM,3531,Lumbosacral plexus lesions
C0154735,353.1,ICD9CM,3531,Lumbosacral plex lesion
C0154739,353.8,ICD9CM,3538,Other nerve root and plexus disorders
C0154739,353.8,ICD9CM,3538,Nerv root/plexus dis NEC
C0154741,354,ICD9CM,354,Mononeuritis of upper limb and mononeuritis multiplex
C0154742,354.1,ICD9CM,3541,Other lesion of median nerve
C0154742,354.1,ICD9CM,3541,Median nerve lesion NEC
C0154744,354.3,ICD9CM,3543,Radial nerve lesion
C0154744,354.3,ICD9CM,3543,Lesion of radial nerve
C0154745,354.8,ICD9CM,3548,Other mononeuritis of upper limb
C0154745,354.8,ICD9CM,3548,Mononeuritis arm NEC
C0154746,354.9,ICD9CM,3549,"Mononeuritis of upper limb, unspecified"
C0154746,354.9,ICD9CM,3549,Mononeuritis arm NOS
C0154747,355,ICD9CM,355,Mononeuritis of lower limb
C0154747,355.8,ICD9CM,3558,"Mononeuritis of lower limb, unspecified"
C0154747,355.8,ICD9CM,3558,Mononeuritis leg NOS
C0154748,355.0,ICD9CM,3550,Lesion of sciatic nerve
C0154748,355.0,ICD9CM,3550,Sciatic nerve lesion
C0154749,355.2,ICD9CM,3552,Other lesion of femoral nerve
C0154749,355.2,ICD9CM,3552,Femoral nerve lesion NEC
C0154752,355.6,ICD9CM,3556,Plantar nerve lesion
C0154752,355.6,ICD9CM,3556,Lesion of plantar nerve
C0154753,355.7,ICD9CM,3557,Other mononeuritis of lower limb
C0154753,355.79,ICD9CM,35579,Other mononeuritis of lower limb
C0154753,355.79,ICD9CM,35579,Oth mononeur lower limb
C0154754,356,ICD9CM,356,Hereditary and idiopathic peripheral neuropathy
C0154756,356.4,ICD9CM,3564,Idiopathic progressive polyneuropathy
C0154756,356.4,ICD9CM,3564,Idio prog polyneuropathy
C0154757,356.8,ICD9CM,3568,Other specified idiopathic peripheral neuropathy
C0154757,356.8,ICD9CM,3568,Idio periph neurpthy NEC
C0154758,357,ICD9CM,357,Inflammatory and toxic neuropathy
C0154758,357.9,ICD9CM,3579,Unspecified inflammatory and toxic neuropathy
C0154758,357.9,ICD9CM,3579,Inflam/tox neuropthy NOS
C0154759,357.1,ICD9CM,3571,Polyneuropathy in collagen vascular disease
C0154759,357.1,ICD9CM,3571,Neurpthy in col vasc dis
C0154761,357.4,ICD9CM,3574,Polyneuropathy in other diseases classified elsewhere
C0154761,357.4,ICD9CM,3574,Neuropathy in other dis
C0154762,357.6,ICD9CM,3576,Polyneuropathy due to drugs
C0154762,357.6,ICD9CM,3576,Neuropathy due to drugs
C0154763,357.7,ICD9CM,3577,Polyneuropathy due to other toxic agents
C0154763,357.7,ICD9CM,3577,Neurpthy toxic agent NEC
C0154764,357.89,ICD9CM,35789,Other inflammatory and toxic neuropathy
C0154764,357.8,ICD9CM,3578,Other inflammatory and toxic neuropathies
C0154764,357.89,ICD9CM,35789,Inflam/tox neuropthy NEC
C0154769,359.4,ICD9CM,3594,Toxic myopathy
C0154769,359.4,ICD9CM,3594,Toxic myopathy
C0154770,359.5,ICD9CM,3595,Myopathy in endocrine diseases classified elsewhere
C0154770,359.5,ICD9CM,3595,Myopathy in endocrin dis
C0154771,359.6,ICD9CM,3596,Symptomatic inflammatory myopathy in diseases classified elsewhere
C0154771,359.6,ICD9CM,3596,Infl myopathy in oth dis
C0154773,360.01,ICD9CM,36001,Acute endophthalmitis
C0154773,360.01,ICD9CM,36001,Acute endophthalmitis
C0154774,360.03,ICD9CM,36003,Chronic endophthalmitis
C0154774,360.03,ICD9CM,36003,Chronic endophthalmitis
C0154775,360.14,ICD9CM,36014,Ophthalmia nodosa
C0154775,360.14,ICD9CM,36014,Ophthalmia nodosa
C0154777,360.40,ICD9CM,36040,"Degenerated globe or eye, unspecified"
C0154777,360.4,ICD9CM,3604,Degenerated conditions of globe
C0154777,360.20,ICD9CM,36020,"Degenerative disorder of globe, unspecified"
C0154777,360.2,ICD9CM,3602,Degenerative disorders of globe
C0154777,360.40,ICD9CM,36040,Degeneration of eye NOS
C0154777,360.20,ICD9CM,36020,Degenerat globe dis NOS
C0154778,360.21,ICD9CM,36021,Progressive high (degenerative) myopia
C0154778,360.21,ICD9CM,36021,Progressive high myopia
C0154780,360.29,ICD9CM,36029,Other degenerative disorders of globe
C0154780,360.29,ICD9CM,36029,Degenerative globe NEC
C0154782,360.31,ICD9CM,36031,Primary hypotony of eye
C0154782,360.31,ICD9CM,36031,Primary hypotony
C0154783,360.32,ICD9CM,36032,Ocular fistula causing hypotony
C0154783,360.32,ICD9CM,36032,Hypotony due to fistula
C0154784,360.33,ICD9CM,36033,Hypotony associated with other ocular disorders
C0154784,360.33,ICD9CM,36033,Hypotony w eye dis NEC
C0154788,360.41,ICD9CM,36041,Blind hypotensive eye
C0154788,360.41,ICD9CM,36041,Blind hypotensive eye
C0154789,360.42,ICD9CM,36042,Blind hypertensive eye
C0154789,360.42,ICD9CM,36042,Blind hypertensive eye
C0154792,360.51,ICD9CM,36051,"Foreign body, magnetic, in anterior chamber of eye"
C0154792,360.51,ICD9CM,36051,"Old magnet fb, ant chamb"
C0154793,360.52,ICD9CM,36052,"Foreign body, magnetic, in iris or ciliary body"
C0154793,360.52,ICD9CM,36052,"Old magnet fb, iris"
C0154794,360.53,ICD9CM,36053,"Foreign body, magnetic, in lens"
C0154794,360.53,ICD9CM,36053,"Old magnet fb, lens"
C0154795,360.54,ICD9CM,36054,"Foreign body, magnetic, in vitreous"
C0154795,360.54,ICD9CM,36054,"Old magnet fb, vitreous"
C0154796,360.55,ICD9CM,36055,"Foreign body, magnetic, in posterior wall"
C0154796,360.55,ICD9CM,36055,"Old magnet fb, post wall"
C0154797,360.59,ICD9CM,36059,"Intraocular foreign body, magnetic, in other or multiple sites"
C0154797,360.59,ICD9CM,36059,"Old magnet fb, eye NEC"
C0154799,360.61,ICD9CM,36061,Foreign body in anterior chamber
C0154799,360.61,ICD9CM,36061,FB in anterior chamber
C0154800,360.62,ICD9CM,36062,Foreign body in iris or ciliary body
C0154800,360.62,ICD9CM,36062,FB in iris or ciliary
C0154801,360.63,ICD9CM,36063,Foreign body in lens
C0154801,360.63,ICD9CM,36063,Foreign body in lens
C0154802,360.64,ICD9CM,36064,Foreign body in vitreous
C0154802,360.64,ICD9CM,36064,Foreign body in vitreous
C0154803,360.65,ICD9CM,36065,Foreign body in posterior wall of eye
C0154803,360.65,ICD9CM,36065,FB in posterior wall
C0154804,360.69,ICD9CM,36069,Intraocular foreign body in other or multiple sites
C0154804,360.69,ICD9CM,36069,Intraocular FB NEC
C0154805,360.8,ICD9CM,3608,Other disorders of globe
C0154805,360.89,ICD9CM,36089,Other disorders of globe
C0154805,360.89,ICD9CM,36089,Disorder of globe NEC
C0154806,360.81,ICD9CM,36081,Luxation of globe
C0154806,360.81,ICD9CM,36081,Luxation of globe
C0154808,361.00,ICD9CM,36100,"Retinal detachment with retinal defect, unspecified"
C0154808,361.0,ICD9CM,3610,Retinal detachment with retinal defect
C0154808,361.00,ICD9CM,36100,Detachmnt w defect NOS
C0154809,361.01,ICD9CM,36101,"Recent retinal detachment, partial, with single defect"
C0154809,361.01,ICD9CM,36101,Part detach-singl defec
C0154810,361.02,ICD9CM,36102,"Recent retinal detachment, partial, with multiple defects"
C0154810,361.02,ICD9CM,36102,Part detach-mult defect
C0154811,361.03,ICD9CM,36103,"Recent retinal detachment, partial, with giant tear"
C0154811,361.03,ICD9CM,36103,Part detach-giant tear
C0154812,361.04,ICD9CM,36104,"Recent retinal detachment, partial, with retinal dialysis"
C0154812,361.04,ICD9CM,36104,Part detach-dialysis
C0154813,361.05,ICD9CM,36105,"Recent retinal detachment, total or subtotal"
C0154813,361.05,ICD9CM,36105,"Recent detachment, total"
C0154814,361.06,ICD9CM,36106,"Old retinal detachment, partial"
C0154814,361.06,ICD9CM,36106,"Old detachment, partial"
C0154815,361.07,ICD9CM,36107,"Old retinal detachment, total or subtotal"
C0154815,361.07,ICD9CM,36107,"Old detachment, total"
C0154816,361.1,ICD9CM,3611,Retinoschisis and retinal cysts
C0154817,361.11,ICD9CM,36111,Flat retinoschisis
C0154817,361.11,ICD9CM,36111,Flat retinoschisis
C0154819,361.13,ICD9CM,36113,Primary retinal cysts
C0154819,361.13,ICD9CM,36113,Primary retinal cysts
C0154820,361.14,ICD9CM,36114,Secondary retinal cysts
C0154820,361.14,ICD9CM,36114,Secondary retinal cysts
C0154821,361.19,ICD9CM,36119,Other retinoschisis and retinal cysts
C0154821,361.19,ICD9CM,36119,Retinoshisis or cyst NEC
C0154822,361.2,ICD9CM,3612,Serous retinal detachment
C0154822,361.2,ICD9CM,3612,Serous retina detachment
C0154823,361.30,ICD9CM,36130,Retinal defect NOS
C0154823,361.30,ICD9CM,36130,"Retinal defect, unspecified"
C0154825,361.31,ICD9CM,36131,Round hole of retina without detachment
C0154825,361.31,ICD9CM,36131,Round hole of retina
C0154826,361.32,ICD9CM,36132,Horseshoe tear of retina without detachment
C0154826,361.32,ICD9CM,36132,Horseshoe tear of retina
C0154827,361.33,ICD9CM,36133,Multiple defects of retina without detachment
C0154827,361.33,ICD9CM,36133,Mult defects of retina
C0154828,361.81,ICD9CM,36181,Traction detachment of retina
C0154828,361.81,ICD9CM,36181,Retinal traction detach
C0154830,362.02,ICD9CM,36202,Proliferative diabetic retinopathy
C0154830,362.02,ICD9CM,36202,Prolif diab retinopathy
C0154831,362.1,ICD9CM,3621,Other background retinopathy and retinal vascular changes
C0154832,362.12,ICD9CM,36212,Exudative retinopathy
C0154832,362.12,ICD9CM,36212,Exudative retinopathy
C0154834,362.14,ICD9CM,36214,Retinal microaneurysms NOS
C0154834,362.14,ICD9CM,36214,Retina microaneurysm NOS
C0154835,362.15,ICD9CM,36215,Retinal telangiectasia
C0154835,362.15,ICD9CM,36215,Retinal telangiectasia
C0154836,362.17,ICD9CM,36217,Other intraretinal microvascular abnormalities
C0154836,362.17,ICD9CM,36217,Retinal varices
C0154837,362.2,ICD9CM,3622,Other proliferative retinopathy
C0154838,362.29,ICD9CM,36229,Other nondiabetic proliferative retinopathy
C0154838,362.29,ICD9CM,36229,Prolif retinopathy NEC
C0154839,362.33,ICD9CM,36233,Partial retinal arterial occlusion
C0154839,362.33,ICD9CM,36233,Part arterial occlusion
C0154840,362.34,ICD9CM,36234,Transient retinal arterial occlusion
C0154840,362.34,ICD9CM,36234,Transient arterial occlu
C0154841,362.35,ICD9CM,36235,Central retinal vein occlusion
C0154841,362.35,ICD9CM,36235,Cent retinal vein occlus
C0154842,362.36,ICD9CM,36236,Venous tributary (branch) occlusion
C0154842,362.36,ICD9CM,36236,Venous tributary occlus
C0154843,362.37,ICD9CM,36237,Venous engorgement
C0154843,362.37,ICD9CM,36237,Retina venous engorgemnt
C0154844,362.40,ICD9CM,36240,"Retinal layer separation, unspecified"
C0154844,362.4,ICD9CM,3624,Separation of retinal layers
C0154844,362.40,ICD9CM,36240,Retina layer separat NOS
C0154845,362.42,ICD9CM,36242,Serous detachment of retinal pigment epithelium
C0154845,362.42,ICD9CM,36242,Serous detach pigm epith
C0154846,362.43,ICD9CM,36243,Hemorrhagic detachment of retinal pigment epithelium
C0154846,362.43,ICD9CM,36243,Hem detach pigmnt epith
C0154850,362.53,ICD9CM,36253,Cystoid macular degeneration
C0154850,362.53,ICD9CM,36253,Cystoid macular degen
C0154854,362.61,ICD9CM,36261,Paving stone degeneration
C0154854,362.61,ICD9CM,36261,Paving stone degenerat
C0154855,362.62,ICD9CM,36262,Microcystoid degeneration
C0154855,362.62,ICD9CM,36262,Microcystoid degenerat
C0154856,362.63,ICD9CM,36263,Lattice degeneration
C0154856,362.63,ICD9CM,36263,Lattice degeneration
C0154857,362.64,ICD9CM,36264,Senile reticular degeneration
C0154857,362.64,ICD9CM,36264,Senile reticular degen
C0154858,362.65,ICD9CM,36265,Secondry pigment degen
C0154858,362.65,ICD9CM,36265,Secondary pigmentary degeneration
C0154859,362.66,ICD9CM,36266,Secondary vitreoretinal degenerations
C0154859,362.66,ICD9CM,36266,Sec vitreoretina degen
C0154860,362.7,ICD9CM,3627,Hereditary retinal dystrophies
C0154860,362.70,ICD9CM,36270,"Hereditary retinal dystrophy, unspecified"
C0154860,362.70,ICD9CM,36270,Hered retin dystrphy NOS
C0154861,362.71,ICD9CM,36271,Retinal dystrophy in systemic or cerebroretinal lipidoses
C0154861,362.71,ICD9CM,36271,Ret dystrph in lipidoses
C0154862,362.72,ICD9CM,36272,Retinal dystrophy in other systemic disorders and syndromes
C0154862,362.72,ICD9CM,36272,Ret dystrph in syst dis
C0154863,362.73,ICD9CM,36273,Vitreoretinal dystrophies
C0154863,362.73,ICD9CM,36273,Vitreoretinal dystrophy
C0154864,362.75,ICD9CM,36275,Other dystrophies primarily involving the sensory retina
C0154864,362.75,ICD9CM,36275,Sensory retina dystrophy
C0154865,362.76,ICD9CM,36276,Dystrophies primarily involving the retinal pigment epithelium
C0154865,362.76,ICD9CM,36276,Vitelliform dystrophy
C0154866,362.77,ICD9CM,36277,Dystrophies primarily involving Bruch's membrane
C0154866,362.77,ICD9CM,36277,Bruch membrane dystrophy
C0154867,362.82,ICD9CM,36282,Retinal exudates and deposits
C0154867,362.82,ICD9CM,36282,Retina exudates/deposits
C0154870,363.00,ICD9CM,36300,"Focal chorioretinitis, unspecified"
C0154870,363.0,ICD9CM,3630,Focal chorioretinitis and focal retinochoroiditis
C0154870,363.00,ICD9CM,36300,Focal chorioretinit NOS
C0154871,363.01,ICD9CM,36301,"Focal choroiditis and chorioretinitis, juxtapapillary"
C0154871,363.01,ICD9CM,36301,Juxtapap foc choroiditis
C0154872,363.03,ICD9CM,36303,Focal choroiditis and chorioretinitis of other posterior pole
C0154872,363.03,ICD9CM,36303,Foc choroiditis post NEC
C0154875,363.06,ICD9CM,36306,"Focal retinitis and retinochoroiditis, macular or paramacular"
C0154875,363.06,ICD9CM,36306,Macular focal retinitis
C0154876,363.07,ICD9CM,36307,Focal retinitis and retinochoroiditis of other posterior pole
C0154876,363.07,ICD9CM,36307,Foc retinitis post NEC
C0154877,363.08,ICD9CM,36308,"Focal retinitis and retinochoroiditis, peripheral"
C0154877,363.08,ICD9CM,36308,Periph focal retinitis
C0154879,363.10,ICD9CM,36310,"Disseminated chorioretinitis, unspecified"
C0154879,363.1,ICD9CM,3631,Disseminated chorioretinitis and disseminated retinochoroiditis
C0154879,363.10,ICD9CM,36310,Dissem chorioretinit NOS
C0154880,363.11,ICD9CM,36311,"Disseminated choroiditis and chorioretinitis, posterior pole"
C0154880,363.11,ICD9CM,36311,"Dissem choroiditis, post"
C0154881,363.12,ICD9CM,36312,"Disseminated choroiditis and chorioretinitis, peripheral"
C0154881,363.12,ICD9CM,36312,Periph disem choroiditis
C0154882,363.13,ICD9CM,36313,"Disseminated choroiditis and chorioretinitis, generalized"
C0154882,363.13,ICD9CM,36313,Gen dissem choroiditis
C0154883,363.14,ICD9CM,36314,"Disseminated retinitis and retinochoroiditis, metastatic"
C0154883,363.14,ICD9CM,36314,Metastat dissem retinit
C0154884,363.15,ICD9CM,36315,"Disseminated retinitis and retinochoroiditis, pigment epitheliopathy"
C0154884,363.15,ICD9CM,36315,Pigment epitheliopathy
C0154888,363.34,ICD9CM,36334,Peripheral scars
C0154888,363.34,ICD9CM,36334,Peripheral retinal scars
C0154889,363.35,ICD9CM,36335,Disseminated scars
C0154889,363.35,ICD9CM,36335,Disseminated retina scar
C0154891,363.41,ICD9CM,36341,Senile atrophy of choroid
C0154891,363.41,ICD9CM,36341,"Senile atrophy, choroid"
C0154892,363.42,ICD9CM,36342,Diffuse secondary atrophy of choroid
C0154892,363.42,ICD9CM,36342,Difus sec atroph choroid
C0154893,363.50,ICD9CM,36350,"Hereditary choroidal dystrophy or atrophy, unspecified"
C0154893,363.5,ICD9CM,3635,Hereditary choroidal dystrophies
C0154893,363.50,ICD9CM,36350,Hered choroid atroph NOS
C0154895,363.51,ICD9CM,36351,"Circumpapillary dystrophy of choroid, partial"
C0154895,363.51,ICD9CM,36351,Prt circmpap choroid dys
C0154896,363.52,ICD9CM,36352,"Circumpapillary dystrophy of choroid, total"
C0154896,363.52,ICD9CM,36352,Tot circmpap choroid dys
C0154898,363.54,ICD9CM,36354,"Central choroidal atrophy, total"
C0154898,363.54,ICD9CM,36354,Tot cent choroid atrophy
C0154899,363.56,ICD9CM,36356,"Other diffuse or generalized dystrophy of choroid, partial"
C0154899,363.56,ICD9CM,36356,Prt gen choroid dyst NEC
C0154900,363.57,ICD9CM,36357,"Other diffuse or generalized dystrophy of choroid, total"
C0154900,363.57,ICD9CM,36357,Tot gen choroid dyst NEC
C0154901,363.6,ICD9CM,3636,Choroidal hemorrhage and rupture
C0154902,363.62,ICD9CM,36362,Expulsive choroidal hemorrhage
C0154902,363.62,ICD9CM,36362,Expulsive choroid hemorr
C0154903,363.63,ICD9CM,36363,Choroidal rupture
C0154903,363.63,ICD9CM,36363,Choroidal rupture
C0154904,363.71,ICD9CM,36371,Serous choroidal detachment
C0154904,363.71,ICD9CM,36371,Serous choroid detachmnt
C0154905,363.72,ICD9CM,36372,Hemorrhagic choroidal detachment
C0154905,363.72,ICD9CM,36372,Hemorr choroid detachmnt
