QueryID	PMID	ABSTRACT	SCORE	CONCEPTS
15	27756754	An adolescent with acute abdominal pain and bowel wall thickening.	89.301674	"{""C0000729"": [""crampy abdominal pain"", [""T184""]], ""C2348813"": [""abdominal ultrasound"", [""T060""]], ""C0041618"": [""ultrasound scanning"", [""T060""]], ""C0234246"": [""rebound tenderness"", [""T184""]], ""C0848377"": [""abdominal trauma"", [""T037""]], ""C0575805"": [""hand swelling"", [""T046""]], ""C0234233"": [""tenderness"", [""T184""]], ""C0205400"": [""thickening"", [""T033""]], ""C0011991"": [""diarrhoea"", [""T184""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0441633"": [""scanning"", [""T060""]], ""C0030705"": [""patient"", [""T101""]], ""C0750484"": [""confirm"", [""T033""]], ""C2674459"": [""Limited"", [""T033""]], ""C0332148"": [""likely"", [""T033""]], ""C1304680"": [""attack"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0178913"": [""Blood"", [""T031""]], ""C0005768"": [""blood"", [""T031""]], ""C1561557"": [""Group"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C1550635"": [""Erythrocytes"", [""T031""]], ""C0042109"": [""urticarias"", [""T047""]], ""C1306232"": [""severed"", [""T061""]], ""C0694551"": [""right lower quadrant pain"", [""T184""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C1549114"": [""Unreported"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C0344221"": [""iud contraception"", [""T033""]], ""C0015411"": [""eye manifestation"", [""T184""]], ""C0232693"": [""bowel sound"", [""T033""]], ""C3242263"": [""no permission"", [""T033""]], ""C0427198"": [""Guarding"", [""T033""]], ""C0003964"": [""peritoneal fluid"", [""T031""]], ""C4533677"": [""at admission"", [""T033""]]}"
16	23472436	Cytomegaloviral enteritis: a rare cause of small gut perforation.	88.333885	"{""C4721555"": [""autoimmune hepatitis"", [""T047""]], ""C0019189"": [""chronic hepatitis"", [""T047""]], ""C0032320"": [""pneumoperitoneum"", [""T047""]], ""C0011991"": [""watery stools"", [""T184""]], ""C0021831"": [""bowel disease"", [""T047""]], ""C0267533"": [""caecal ulcer"", [""T047""]], ""C0193388"": [""Liver biopsy"", [""T060""]], ""C0234233"": [""tenderness"", [""T184""]], ""C0023038"": [""laparotomy"", [""T061""]], ""C0549099"": [""perforated"", [""T033""]], ""C0014335"": [""enteritis"", [""T047""]], ""C0203057"": [""Upper GI"", [""T060""]], ""C0005558"": [""biopsied"", [""T060""]], ""C0205160"": [""negative"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0009319"": [""colitis"", [""T047""]], ""C0699809"": [""carried"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0041582"": [""ulcer"", [""T046""]], ""C0024202"": [""lymph"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0035222"": [""ards"", [""T047""]], ""C3840617"": [""3-4"", [""T033""]], ""C0184511"": [""improved"", [""T033""]], ""C0560182"": [""no diagnosis"", [""T033""]], ""C1306232"": [""severed"", [""T061""]], ""C3714614"": [""Distension"", [""T033""]], ""C0085293"": [""e hepatitis"", [""T047""]], ""C1856554"": [""No hepatomegaly"", [""T033""]], ""C0442743"": [""noninflammatory"", [""T033""]], ""C4733251"": [""HD colonoscopy"", [""T060""]], ""C0151664"": [""gi perforation"", [""T047""]], ""C1306645"": [""X-Rays"", [""T060""]], ""C4263750"": [""for postoperative"", [""T060""]], ""C0558507"": [""anal examination"", [""T060""]], ""C5238873"": [""Steroids"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C0189024"": [""nasendoscopy"", [""T060""]], ""C4533677"": [""at admission"", [""T033""]]}"
17	19874734	Pain in abdomen and shoulder.	87.93177	"{""C0238844"": [""decreased breath sounds"", [""T033""]], ""C0277858"": [""absent breath sounds"", [""T033""]], ""C0442816"": [""normal limits"", [""T033""]], ""C1299586"": [""difficulty"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C1546399"": [""emergency"", [""T033""]], ""C0042963"": [""vomiting"", [""T184""]], ""C0030705"": [""patient"", [""T101""]], ""C0337664"": [""smoker"", [""T033""]], ""C0005768"": [""blood"", [""T031""]], ""C1306645"": [""x-ray"", [""T060""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C0087111"": [""treatments"", [""T061""]], ""C5441521"": [""complaint"", [""T184""]], ""C0746961"": [""Desaturation"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C3845990"": [""No heart rate"", [""T033""]], ""C3242336"": [""Unordered"", [""T033""]]}"
18	33393326	Boerhaave's syndrome with rupture of the right wall of the esophagus after oral administration of sulfate solution.	87.57507	"{""C0038536"": [""subcutaneous emphysema"", [""T046""]], ""C0025062"": [""mediastinal emphysema"", [""T047""]], ""C0027498"": [""nausea and vomiting"", [""T184""]], ""C1253943"": [""pleural effusion"", [""T031""]], ""C0232493"": [""epigastric pain"", [""T184""]], ""C0232292"": [""tight chest"", [""T184""]], ""C0030252"": [""palpitation"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C0683278"": [""suffered"", [""T048""]], ""C1509143"": [""Physical"", [""T033""]], ""C0277964"": [""crepitus"", [""T046""]], ""C0013404"": [""dyspnea"", [""T184""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C1829459"": [""Decompression"", [""T061""]], ""C1306232"": [""severed"", [""T061""]], ""C0238404"": [""Pyopneumothorax"", [""T047""]], ""C0423899"": [""bright"", [""T033""]], ""C0729233"": [""Thoracic"", [""T047""]]}"
19	28125922	ACE Inhibitor-Induced Angioedema of the Small Bowel: A Case Report and Review of the Literature.	87.18547	"{""C0041755"": [""adverse drug reaction"", [""T046""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0232693"": [""bowel sounds"", [""T033""]], ""C0002994"": [""angioedema"", [""T046""]], ""C0040405"": [""tomography"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0038999"": [""swelling"", [""T033""]], ""C0332148"": [""probable"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0003962"": [""ascites"", [""T047""]], ""C0087111"": [""therapy"", [""T061""]], ""C0150312"": [""present"", [""T033""]], ""C0027497"": [""nausea"", [""T184""]], ""C0013604"": [""edema"", [""T046""]], ""C1258215"": [""ileus"", [""T047""]], ""C0449820"": [""score"", [""T033""]], ""C0030193"": [""pain"", [""T184""]], ""C0272167"": [""Aleukocytosis"", [""T047""]], ""C1444662"": [""Discontinuation"", [""T033""]], ""C5238667"": [""Intermittent"", [""T033""]], ""C5238735"": [""Medications"", [""T033""]], ""C0442743"": [""noninflammatory"", [""T033""]], ""C2973270"": [""Annual physical examination"", [""T061""]], ""C0236124"": [""GI obstruction"", [""T047""]], ""C3844714"": [""No improvement"", [""T033""]], ""C3151684"": [""No development"", [""T033""]], ""C1549114"": [""Unreported"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]]}"
20	25685582	Small bowel dissemination of coccidioidomycosis.	86.49028	"{""C0026766"": [""multisystem organ failure"", [""T046""]], ""C0000731"": [""abdominal distention"", [""T033""]], ""C0277799"": [""intermittent fever"", [""T033""]], ""C0678026"": [""antifungal therapy"", [""T061""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C1457868"": [""deteriorated"", [""T033""]], ""C1306645"": [""radiograph"", [""T060""]], ""C0040405"": [""tomography"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0013687"": [""effusion"", [""T046""]], ""C0185023"": [""fixation"", [""T061""]], ""C0030705"": [""patient"", [""T101""]], ""C0262512"": [""history"", [""T033""]], ""C0028259"": [""nodules"", [""T020""]], ""C0003962"": [""ascites"", [""T047""]], ""C0027497"": [""nausea"", [""T184""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0038990"": [""sweat"", [""T033""]], ""C0005768"": [""blood"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0441633"": [""scan"", [""T060""]], ""C0276667"": [""Disseminated coccidioidomycosis"", [""T047""]], ""C0743330"": [""shortness of breath rest"", [""T033""]], ""C4085555"": [""Extremely"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C1549114"": [""Unreported"", [""T033""]], ""C0009186"": [""San Joaquin Valley Fever"", [""T047""]], ""C0339963"": [""Ch pl coccidioidomycosis"", [""T047""]], ""C0150312"": [""present"", [""T033""]], ""C4283785"": [""Complete"", [""T033""]]}"
21	12884146	[Non-healing gastric ulcer].	86.2656	"{""C5441918"": [""Upper gastrointestinal endoscopy"", [""T060""]], ""C0553697"": [""granulomatous inflammation"", [""T046""]], ""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0011906"": [""differential diagnosis"", [""T060""]], ""C0232492"": [""upper abdominal pain"", [""T184""]], ""C2348813"": [""Abdominal ultrasound"", [""T060""]], ""C4282165"": [""enlarged lymph nodes"", [""T184""]], ""C0041290"": [""tuberculin skin test"", [""T060""]], ""C0374997"": [""Helicobacter pylori"", [""T047""]], ""C0038358"": [""gastric ulcers"", [""T047""]], ""C0333293"": [""healing ulcers"", [""T020""]], ""C0009566"": [""complications"", [""T046""]], ""C0028081"": [""night sweats"", [""T184""]], ""C0234233"": [""tenderness"", [""T184""]], ""C0700198"": [""aspirated"", [""T046""]], ""C0442739"": [""unchanged"", [""T033""]], ""C1509143"": [""Physical"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C1446409"": [""positive"", [""T033""]], ""C0005558"": [""biopsies"", [""T060""]], ""C0184511"": [""improved"", [""T033""]], ""C0087111"": [""therapy"", [""T061""]], ""C0030705"": [""patient"", [""T101""]], ""C0041582"": [""ulcers"", [""T046""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C1333803"": [""Gastrointestinal"", [""T033""]], ""C0424641"": [""height loss"", [""T033""]], ""C5238745"": [""Inadequate"", [""T033""]], ""C0007431"": [""needl"", [""T061""]], ""C0423899"": [""bright"", [""T033""]], ""C0206526"": [""MDR Tuberculosis"", [""T047""]], ""C0232493"": [""Epigastrium"", [""T184""]]}"
22	32933929	Sinister sinusitis.	85.864334	"{""C3495801"": [""Granulomatosis with polyangiitis"", [""T047""]], ""C0035243"": [""respiratory tract infection"", [""T047""]], ""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0436121"": [""respiratory examination"", [""T060""]], ""C0004623"": [""Bacterial infection"", [""T047""]], ""C0027424"": [""nasal congestion"", [""T184""]], ""C0751534"": [""syncopal episode"", [""T184""]], ""C0476474"": [""persistent fever"", [""T046""]], ""C0549123"": [""swollen tonsils"", [""T033""]], ""C0041618"": [""ultrasound scan"", [""T060""]], ""C0038363"": [""aphthous ulcer"", [""T047""]], ""C0013516"": [""Echocardiogram"", [""T060""]], ""C1457868"": [""deteriorated"", [""T033""]], ""C0558362"": [""pansinusitis"", [""T047""]], ""C0031350"": [""sore throat"", [""T047""]], ""C0019079"": [""haemoptysis"", [""T184""]], ""C0439056"": [""throat swab"", [""T031""]], ""C0036202"": [""Sarcoidosis"", [""T047""]], ""C0277785"": [""dysfunction"", [""T046""]], ""C0003862"": [""arthralgia"", [""T184""]], ""C1299586"": [""difficulty"", [""T033""]], ""C1561535"": [""Creatinine"", [""T033""]], ""C0040405"": [""tomography"", [""T060""]], ""C4722602"": [""Underlying"", [""T033""]], ""C0037199"": [""sinusitis"", [""T047""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0014591"": [""epistaxis"", [""T046""]], ""C0600083"": [""discharge"", [""T031""]], ""C0041582"": [""ulcerated"", [""T046""]], ""C1963076"": [""Platelets"", [""T033""]], ""C0027627"": [""secondary"", [""T191""]], ""C0013456"": [""ear pain"", [""T184""]], ""C0038999"": [""swelling"", [""T033""]], ""C1446409"": [""positive"", [""T033""]], ""C0460139"": [""pressure"", [""T033""]], ""C0030705"": [""patients"", [""T101""]], ""C0205160"": [""negative"", [""T033""]], ""C0678034"": [""Negative"", [""T033""]], ""C0016059"": [""fibrosis"", [""T046""]], ""C0262512"": [""history"", [""T033""]], ""C0231528"": [""myalgia"", [""T184""]], ""C0015672"": [""fatigue"", [""T184""]], ""C0015388"": [""exudate"", [""T031""]], ""C0002871"": [""anaemia"", [""T047""]], ""C0232357"": [""Normal"", [""T033""]], ""C1576419"": [""Sputum"", [""T031""]], ""C0011334"": [""Cavities"", [""T047""]], ""C0015967"": [""fever"", [""T184""]], ""C0005768"": [""blood"", [""T031""]], ""C2753459"": [""mucus"", [""T031""]], ""C0024202"": [""lymph"", [""T031""]], ""C0042036"": [""urine"", [""T031""]], ""C2963137"": [""Urine"", [""T031""]], ""C0043299"": [""radiology"", [""T060""]], ""C0030193"": [""pain"", [""T184""]], ""C1578513"": [""new"", [""T033""]], ""C1550629"": [""Ear"", [""T031""]], ""C0039985"": [""cxr"", [""T060""]], ""C0859927"": [""Increased work of breathing"", [""T184""]], ""C1550651"": [""Lymphocytes"", [""T031""]], ""C1550634"": [""Eosinophils"", [""T031""]], ""C0043194"": [""Immunodeficiency 2"", [""T047""]], ""C0087111"": [""treatments"", [""T061""]], ""C0728827"": [""transfers"", [""T033""]], ""C0151632"": [""High erythrocyte sedimentation rate"", [""T033""]], ""C0521530"": [""Consolidation"", [""T047""]], ""C0577946"": [""tympani"", [""T033""]], ""C0037088"": [""finding"", [""T184""]], ""C4054315"": [""Organomegaly"", [""T033""]], ""C4759912"": [""Haemoglobin C"", [""T033""]], ""C0237677"": [""insensitivity"", [""T033""]], ""C0424641"": [""height loss"", [""T033""]], ""C0425442"": [""Respiratory"", [""T033""]], ""C0860359"": [""Reintubation"", [""T061""]], ""C0151683"": [""Neutrophilia"", [""T033""]], ""C0232266"": [""Continuous"", [""T033""]], ""C3700353"": [""Ds in intensive care unit"", [""T033""]], ""C1856554"": [""No hepatomegaly"", [""T033""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C1455884"": [""Elev C-reactive protein"", [""T033""]], ""C3839460"": [""Nonprogressive"", [""T033""]], ""C5238767"": [""No involvement"", [""T033""]], ""C4697723"": [""Echogenic"", [""T033""]], ""C0423899"": [""bright"", [""T033""]], ""C3843806"": [""5 - 14 years old"", [""T033""]], ""C0206526"": [""MDR Tuberculosis"", [""T047""]], ""C0150312"": [""present"", [""T033""]], ""C5238761"": [""Symptoms"", [""T184""]], ""C0202823"": [""Chest CT"", [""T060""]], ""C5232396"": [""Elevated alanine aminotransferase"", [""T033""]], ""C0007222"": [""cardiovascular system disease"", [""T047""]], ""C2239101"": [""Hemoglobin"", [""T033""]], ""C4533677"": [""at admission"", [""T033""]], ""C0000768"": [""malformation"", [""T019""]]}"
23	17217110	[Lymphoid form of intestinal tuberculosis with miliary dissemination: case report].	85.30761	"{""C0553697"": [""granulomatous inflammation"", [""T046""]], ""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0015970"": [""fever of unknown origin"", [""T184""]], ""C0275911"": [""intestinal tuberculosis"", [""T047""]], ""C0041321"": [""Miliary tuberculosis"", [""T047""]], ""C0041290"": [""tuberculin skin test"", [""T060""]], ""C4282165"": [""enlarged lymph nodes"", [""T184""]], ""C1290864"": [""abdominal disorders"", [""T047""]], ""C0679836"": [""diagnostic problem"", [""T033""]], ""C0010346"": [""Crohn's disease"", [""T047""]], ""C0449411"": [""causative agent"", [""T033""]], ""C0596473"": [""early diagnosis"", [""T060""]], ""C0521173"": [""granulomatosis"", [""T047""]], ""C0481430"": [""HIV negative"", [""T033""]], ""C0031150"": [""laparoscopy"", [""T060""]], ""C0009450"": [""Infectious"", [""T047""]], ""C0040405"": [""tomography"", [""T060""]], ""C0439775"": [""elevation"", [""T061""]], ""C0750484"": [""confirm"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0205160"": [""negative"", [""T033""]], ""C2347026"": [""specimen"", [""T031""]], ""C0392148"": [""presence"", [""T061""]], ""C0439663"": [""infected"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0332149"": [""possible"", [""T033""]], ""C0033213"": [""problem"", [""T033""]], ""C0000833"": [""abscess"", [""T047""]], ""C1363945"": [""Therapy"", [""T033""]], ""C0221198"": [""lesions"", [""T033""]], ""C0301571"": [""liquid"", [""T061""]], ""C0038056"": [""sputum"", [""T031""]], ""C0220797"": [""biopsy"", [""T033""]], ""C0015967"": [""fever"", [""T184""]], ""C0229671"": [""serum"", [""T031""]], ""C1306645"": [""radiograph"", [""T060""]], ""C0024202"": [""lymph"", [""T031""]], ""C0015733"": [""stool"", [""T031""]], ""C0042036"": [""urine"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C0577559"": [""mass"", [""T033""]], ""C0086143"": [""Diagnostic studies"", [""T060""]], ""C0087111"": [""treatments"", [""T061""]], ""C0442797"": [""decreased"", [""T033""]], ""C0151632"": [""High erythrocyte sedimentation rate"", [""T033""]], ""C0150312"": [""present"", [""T033""]], ""C0424530"": [""absences"", [""T033""]], ""C4527217"": [""Infiltrative"", [""T033""]], ""C0883663"": [""enteroclysis"", [""T060""]], ""C0424641"": [""height loss"", [""T033""]], ""C1550043"": [""Identified"", [""T033""]], ""C0011900"": [""Diagnostic"", [""T060""]], ""C0085293"": [""e hepatitis"", [""T047""]], ""C0023038"": [""explorative laparotomy"", [""T061""]], ""C3840878"": [""Hospitalization 1"", [""T033""]], ""C4733251"": [""HD colonoscopy"", [""T060""]], ""C5238767"": [""No involvement"", [""T033""]], ""C1549114"": [""Unreported"", [""T033""]], ""C0206526"": [""MDR Tuberculosis"", [""T047""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C1550488"": [""referrer"", [""T033""]], ""C0151799"": [""Necrosis"", [""T046""]], ""C1704680"": [""Staining"", [""T033""]], ""C0332155"": [""untreated"", [""T033""]], ""C4042812"": [""Intraoperative ECoG"", [""T060""]], ""C0151576"": [""increased ck"", [""T033""]], ""C4533677"": [""at admission"", [""T033""]]}"
24	15534923	Diagnosis of abdominal tuberculosis: experience from 11 cases and review of the literature.	85.22168	"{""C0748390"": [""retroperitoneal lymphadenopathy"", [""T046""]], ""C0858195"": [""Mycobacterium tuberculosis"", [""T047""]], ""C0549433"": [""surgical intervention"", [""T033""]], ""C0000731"": [""abdominal distension"", [""T033""]], ""C2348813"": [""Abdominal ultrasound"", [""T060""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C2243017"": [""needle aspiration"", [""T061""]], ""C0041290"": [""tuberculin test"", [""T060""]], ""C0000734"": [""abdominal mass"", [""T033""]], ""C5441965"": [""ascitic fluid"", [""T031""]], ""C0028081"": [""night sweat"", [""T184""]], ""C0347944"": [""pelvic mass"", [""T033""]], ""C0031150"": [""laparoscopy"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C1306645"": [""radiograph"", [""T060""]], ""C0023038"": [""Laparotomy"", [""T061""]], ""C0018188"": [""granulomas"", [""T046""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C0543467"": [""operation"", [""T061""]], ""C0030705"": [""patient"", [""T101""]], ""C0003123"": [""anorexia"", [""T047""]], ""C0040405"": [""CT scans"", [""T060""]], ""C1446409"": [""positive"", [""T033""]], ""C0205160"": [""negative"", [""T033""]], ""C0003962"": [""ascites"", [""T047""]], ""C0150312"": [""present"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0028259"": [""nodules"", [""T020""]], ""C0333463"": [""plaques"", [""T020""]], ""C0006826"": [""cancer"", [""T191""]], ""C0221198"": [""lesion"", [""T033""]], ""C0038056"": [""sputum"", [""T031""]], ""C0005558"": [""Biopsy"", [""T060""]], ""C1546930"": [""Other"", [""T033""]], ""C0030193"": [""pain"", [""T184""]], ""C0577559"": [""mass"", [""T033""]], ""C1706277"": [""None"", [""T033""]], ""C1578513"": [""new"", [""T033""]], ""C0041618"": [""ultrasounds"", [""T060""]], ""C2347026"": [""specimen"", [""T031""]], ""C4699618"": ["">65 years"", [""T033""]], ""C0037088"": [""finding"", [""T184""]], ""C0041327"": [""Pulmonary TB"", [""T047""]], ""C0424641"": [""height loss"", [""T033""]], ""C1550651"": [""Lymphocytes"", [""T031""]], ""C3845885"": [""Inexperience"", [""T033""]], ""C4082977"": [""Undetermined"", [""T033""]], ""C3809765"": [""No abnormalities"", [""T033""]], ""C2239101"": [""Hemoglobin"", [""T033""]], ""C0041296"": [""tuberculosis"", [""T047""]], ""C5238767"": [""No involvement"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0041322"": [""eye tuberculosis"", [""T047""]], ""C0004093"": [""Weakness"", [""T184""]], ""C1704680"": [""Staining"", [""T033""]], ""C0599990"": [""p antigen"", [""T033""]]}"
25	10496041	[Necrotizing lymphadenitis presenting as mesenteric lymphadenopathy].	84.991325	"{""C0221269"": [""reactive lymphoid hyperplasia"", [""T191""]], ""C3887558"": [""hemophagocytic syndrome"", [""T047""]], ""C0232495"": [""lower abdominal pain"", [""T184""]], ""C4282165"": [""lymphadenopathy"", [""T184""]], ""C0865245"": [""progressive anemia"", [""T047""]], ""C3242272"": [""condition improved"", [""T033""]], ""C0024203"": [""lymphadenectomy"", [""T061""]], ""C0003611"": [""Appendectomy"", [""T061""]], ""C0332448"": [""infiltration"", [""T046""]], ""C0699748"": [""pathogenesis"", [""T046""]], ""C0743973"": [""high fever"", [""T033""]], ""C0349707"": [""aspiration"", [""T061""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C2347026"": [""specimen"", [""T031""]], ""C0015252"": [""resected"", [""T061""]], ""C0030705"": [""patient"", [""T101""]], ""C0015967"": [""fever"", [""T184""]], ""C0024202"": [""lymph"", [""T031""]], ""C0030193"": [""pain"", [""T184""]], ""C1550616"": [""Bone"", [""T031""]], ""C0600138"": [""play"", [""T033""]], ""C0041618"": [""ultrasounds"", [""T060""]], ""C5382030"": [""Symptoms resolved"", [""T033""]], ""C0087111"": [""treatments"", [""T061""]], ""C0037088"": [""finding"", [""T184""]], ""C1292123"": [""Hematological"", [""T033""]], ""C5238767"": [""No involvement"", [""T033""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0423899"": [""bright"", [""T033""]], ""C0024205"": [""lymphadenitis"", [""T047""]], ""C4263750"": [""for postoperative"", [""T060""]], ""C1441534"": [""Computed tomography 3D"", [""T060""]], ""C0876991"": [""Hemophagocytosis"", [""T047""]], ""C1293134"": [""Enlarged"", [""T061""]], ""C0151799"": [""Necrosis"", [""T046""]], ""C5400982"": [""Systemic"", [""T061""]], ""C0332155"": [""untreated"", [""T033""]]}"
26	31236395	Lupus enteritis as the only active manifestation of systemic lupus erythematosus: A case report.	84.560814	"{""C0267412"": [""mesenteric vein thrombosis"", [""T046""]], ""C0011906"": [""differential diagnoses"", [""T060""]], ""C0019243"": [""hereditary angioedema"", [""T047""]], ""C0232498"": [""abdominal tenderness"", [""T184""]], ""C0409974"": [""lupus erythematosus"", [""T047""]], ""C0018621"": [""seasonal allergies"", [""T047""]], ""C0262926"": [""medical history"", [""T033""]], ""C0024138"": [""discoid lupus"", [""T047""]], ""C0040405"": [""tomography"", [""T060""]], ""C0205400"": [""thickening"", [""T033""]], ""C0002994"": [""angioedema"", [""T046""]], ""C0009450"": [""Infectious"", [""T047""]], ""C0443146"": [""Autoimmune"", [""T046""]], ""C0014245"": [""Endoscopic"", [""T060""]], ""C0014335"": [""enteritis"", [""T047""]], ""C0012634"": [""Diagnosis"", [""T047""]], ""C0332218"": [""difficult"", [""T033""]], ""C2745965"": [""Emergency"", [""T046""]], ""C0011900"": [""diagnosed"", [""T060""]], ""C1321013"": [""hydration"", [""T033""]], ""C0011991"": [""diarrhea"", [""T184""]], ""C0042963"": [""emesis"", [""T184""]], ""C0026837"": [""rigidity"", [""T184""]], ""C0205160"": [""negative"", [""T033""]], ""C5238873"": [""Steroids"", [""T033""]], ""C0005558"": [""biopsies"", [""T060""]], ""C0150312"": [""present"", [""T033""]], ""C0262512"": [""history"", [""T033""]], ""C0030705"": [""patient"", [""T101""]], ""C0079595"": [""imaging"", [""T060""]], ""C0027497"": [""nausea"", [""T184""]], ""C0024131"": [""lupus"", [""T047""]], ""C0013604"": [""edema"", [""T046""]], ""C0030193"": [""pain"", [""T184""]], ""C4321237"": [""High"", [""T033""]], ""C0087111"": [""treatments"", [""T061""]], ""C3257980"": [""Other symptoms"", [""T184""]], ""C1509143"": [""Physical exam"", [""T033""]], ""C0277556"": [""relapse"", [""T047""]], ""C0037088"": [""finding"", [""T184""]], ""C0424530"": [""absences"", [""T033""]], ""C0233492"": [""elated"", [""T033""]], ""C1306232"": [""severed"", [""T061""]], ""C0233256"": [""Malpresentation"", [""T033""]], ""C3844714"": [""No improvement"", [""T033""]], ""C0856882"": [""elevated k"", [""T033""]], ""C0015411"": [""eye manifestation"", [""T184""]], ""C5400982"": [""Systemic"", [""T061""]], ""C0427198"": [""Guarding"", [""T033""]], ""C1547664"": [""Modality"", [""T060""]], ""C0334047"": [""Moderate"", [""T033""]]}"
